ENSG00000167578.11
ENSG00000172137.14
ENSG00000179262.4
ENSG00000036448.5
ENSG00000133134.7
ENSG00000111669.9
ENSG00000170419.6
ENSG00000144199.6
ENSG00000108774.10
ENSG00000198231.7
ENSG00000117394.13
ENSG00000198888.2
ENSG00000115685.10
ENSG00000197444.5
ENSG00000178878.7
ENSG00000149925.12
ENSG00000249614.1
ENSG00000113360.12
ENSG00000165716.5
ENSG00000149927.13
ENSG00000182934.6
ENSG00000100626.11
ENSG00000142875.14
ENSG00000135070.9
ENSG00000107742.7
ENSG00000177889.5
ENSG00000121766.10
ENSG00000131368.3
ENSG00000145824.8
ENSG00000123562.11
ENSG00000159082.12
ENSG00000166619.7
ENSG00000159202.12
ENSG00000003147.13
ENSG00000173598.9
ENSG00000112697.11
ENSG00000169992.5
ENSG00000261496.1
ENSG00000151461.14
ENSG00000250461.1
ENSG00000055070.12
ENSG00000006831.9
ENSG00000106615.5
ENSG00000100302.6
ENSG00000167371.12
ENSG00000137726.11
ENSG00000034053.10
ENSG00000177169.3
ENSG00000169567.7
ENSG00000198517.5
ENSG00000026297.11
ENSG00000204231.6
ENSG00000136490.4
ENSG00000096060.9
ENSG00000102181.15
ENSG00000069345.7
ENSG00000167770.7
ENSG00000182109.3
ENSG00000112186.7
ENSG00000169744.8
ENSG00000090372.7
ENSG00000149575.5
ENSG00000128482.10
ENSG00000250722.1
ENSG00000120053.9
ENSG00000144711.9
ENSG00000114279.8
ENSG00000169189.12
ENSG00000110107.4
ENSG00000258486.1
ENSG00000124785.4
ENSG00000069849.6
ENSG00000244687.6
ENSG00000153048.6
ENSG00000187446.7
ENSG00000091592.10
ENSG00000136930.8
ENSG00000155980.6
ENSG00000168734.9
ENSG00000162981.12
ENSG00000230724.3
ENSG00000089597.11
ENSG00000167978.11
ENSG00000176171.7
ENSG00000131100.8
ENSG00000178988.10
ENSG00000174456.7
ENSG00000004660.10
ENSG00000186298.7
ENSG00000172247.3
ENSG00000108468.10
ENSG00000129351.13
ENSG00000110931.13
ENSG00000260549.1
ENSG00000197956.4
ENSG00000102119.6
ENSG00000111181.8
ENSG00000108797.7
ENSG00000130731.11
ENSG00000158008.5
ENSG00000116544.7
ENSG00000214696.3
ENSG00000162783.8
ENSG00000254531.1
ENSG00000164050.8
ENSG00000168481.4
ENSG00000161082.8
ENSG00000103657.9
ENSG00000164402.9
ENSG00000091972.13
ENSG00000113312.5
ENSG00000112531.12
ENSG00000181610.8
ENSG00000185088.8
ENSG00000143294.10
ENSG00000177556.7
ENSG00000007080.5
ENSG00000141030.8
ENSG00000171617.8
ENSG00000128739.16
ENSG00000163875.11
ENSG00000100100.8
ENSG00000158560.10
ENSG00000133997.7
ENSG00000150995.13
ENSG00000124588.14
ENSG00000092621.7
ENSG00000231064.1
ENSG00000076864.13
ENSG00000108825.12
ENSG00000125841.7
ENSG00000164172.14
ENSG00000127824.9
ENSG00000090273.8
ENSG00000105401.2
ENSG00000139597.11
ENSG00000125869.4
ENSG00000261675.1
ENSG00000133083.10
ENSG00000143314.8
ENSG00000130706.8
ENSG00000126214.15
ENSG00000197448.9
ENSG00000166681.9
ENSG00000196990.4
ENSG00000185189.11
ENSG00000131876.12
ENSG00000168785.3
ENSG00000128683.8
ENSG00000110074.6
ENSG00000113558.12
ENSG00000145632.10
ENSG00000132471.7
ENSG00000100294.7
ENSG00000157470.7
ENSG00000116521.6
ENSG00000161960.10
ENSG00000107954.6
ENSG00000156990.10
ENSG00000171603.11
ENSG00000182568.11
ENSG00000181449.2
ENSG00000171132.9
ENSG00000241973.6
ENSG00000004777.11
ENSG00000132386.5
ENSG00000138028.10
ENSG00000129559.8
ENSG00000122203.10
ENSG00000169976.5
ENSG00000074696.7
ENSG00000145349.12
ENSG00000152154.6
ENSG00000104979.4
ENSG00000186501.9
ENSG00000179091.4
ENSG00000145494.7
ENSG00000160753.11
ENSG00000068308.9
ENSG00000151552.7
ENSG00000244731.3
ENSG00000198786.2
ENSG00000105519.7
ENSG00000132670.15
ENSG00000223802.2
ENSG00000082641.11
ENSG00000174437.10
ENSG00000129625.8
ENSG00000159840.11
ENSG00000119242.4
ENSG00000198899.2
ENSG00000188760.6
ENSG00000182636.4
ENSG00000164600.4
ENSG00000267548.1
ENSG00000132639.8
ENSG00000135334.7
ENSG00000100242.11
ENSG00000042753.6
ENSG00000051128.13
ENSG00000006015.12
ENSG00000120963.7
ENSG00000088833.11
ENSG00000104833.5
ENSG00000004142.6
ENSG00000109906.9
ENSG00000076344.11
ENSG00000162706.8
ENSG00000133872.9
ENSG00000070831.11
ENSG00000128596.12
ENSG00000184702.13
ENSG00000105649.3
ENSG00000119125.12
ENSG00000170296.5
ENSG00000050426.10
ENSG00000158773.10
ENSG00000140403.7
ENSG00000143933.11
ENSG00000168490.9
ENSG00000170043.7
ENSG00000067221.9
ENSG00000108953.12
ENSG00000131018.17
ENSG00000168894.5
ENSG00000150625.12
ENSG00000121390.13
ENSG00000113327.10
ENSG00000134504.8
ENSG00000119801.8
ENSG00000166598.8
ENSG00000114383.5
ENSG00000166340.10
ENSG00000165782.6
ENSG00000205581.6
ENSG00000230910.1
ENSG00000142396.5
ENSG00000125743.6
ENSG00000203485.7
ENSG00000008441.12
ENSG00000158856.12
ENSG00000184220.6
ENSG00000063322.7
ENSG00000111652.4
ENSG00000123989.9
ENSG00000100316.11
ENSG00000132600.12
ENSG00000167549.14
ENSG00000198121.8
ENSG00000140632.12
ENSG00000121769.3
ENSG00000174446.7
ENSG00000178531.3
ENSG00000089220.4
ENSG00000186462.7
ENSG00000011347.5
ENSG00000143502.9
ENSG00000133265.6
ENSG00000127445.9
ENSG00000104112.4
ENSG00000131462.3
